02 Feb 2024 09:11:49,403 | [20] | INFO  | ~1 | System Executable :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE\ArmsServiceMonitor.exe
02 Feb 2024 16:55:06,930 | [166] | INFO  | ~284 | Hosted 

02 Feb 2024 16:55:06,931 | [164] | INFO  | ~285 | Hosting http://192.168.1.5:9095/arms/IVER
02 Feb 2024 16:55:06,933 | [22] | INFO  | ~286 | Hosted 

02 Feb 2024 16:55:06,934 | [165] | INFO  | ~287 | Hosting http://192.168.1.5:9095/arms/ISYN
02 Feb 2024 16:55:06,936 | [160] | INFO  | ~288 | Hosted 

02 Feb 2024 16:55:06,936 | [156] | INFO  | ~289 | Hosting http://192.168.1.5:9095/arms/ILBO
02 Feb 2024 16:55:06,939 | [133] | INFO  | ~290 | Hosted 

02 Feb 2024 16:55:06,939 | [159] | INFO  | ~291 | IPC Pipe b359757d-1565-4e77-85ba-5e916fa74313 Started
02 Feb 2024 16:55:16,489 | [24] | INFO  | ~292 | Cached 2 trusted devices.
02 Feb 2024 16:55:16,503 | [168] | INFO  | ~293 | Cached 2 trusted devices.
02 Feb 2024 16:55:16,503 | [22] | INFO  | ~294 | Cached 2 trusted devices.
02 Feb 2024 16:55:16,549 | [81] | INFO  | ~295 | Cached 2 trusted devices.
02 Feb 2024 16:55:16,558 | [85] | INFO  | ~296 | Cached 2 trusted devices.
02 Feb 2024 16:55:16,756 | [162] | INFO  | ~297 | Cached 2 trusted devices.
02 Feb 2024 16:55:17,152 | [83] | INFO  | ~298 | Cached 2 trusted devices.
02 Feb 2024 16:55:32,843 | [156] | INFO  | ~299 | Cached 2 trusted devices.
02 Feb 2024 16:55:32,844 | [86] | INFO  | ~301 | Cached 2 trusted devices.
02 Feb 2024 16:55:32,843 | [21] | INFO  | ~300 | Cached 2 trusted devices.
02 Feb 2024 16:55:46,547 | [133] | INFO  | ~302 | Cached 2 trusted devices.
02 Feb 2024 16:55:46,565 | [22] | INFO  | ~303 | Cached 2 trusted devices.
02 Feb 2024 16:55:46,576 | [82] | INFO  | ~304 | Cached 2 trusted devices.
02 Feb 2024 16:55:46,725 | [84] | INFO  | ~305 | Cached 2 trusted devices.
02 Feb 2024 16:55:46,728 | [85] | INFO  | ~307 | Cached 2 trusted devices.
02 Feb 2024 16:55:46,725 | [162] | INFO  | ~306 | Cached 2 trusted devices.
02 Feb 2024 16:55:49,551 | [79] | INFO  | ~308 | Cached 2 trusted devices.
02 Feb 2024 16:55:49,581 | [166] | INFO  | ~309 | Cached 2 trusted devices.
02 Feb 2024 16:55:52,912 | [165] | INFO  | ~310 | Cached 2 trusted devices.
02 Feb 2024 16:55:52,955 | [163] | INFO  | ~311 | Cached 2 trusted devices.
02 Feb 2024 17:13:05,896 | [79] | INFO  | ~312 | Cached 2 trusted devices.
02 Feb 2024 17:13:06,186 | [160] | INFO  | ~313 | Cached 2 trusted devices.
02 Feb 2024 17:13:06,249 | [21] | INFO  | ~314 | Cached 2 trusted devices.
02 Feb 2024 17:13:06,421 | [22] | INFO  | ~315 | Cached 2 trusted devices.
02 Feb 2024 17:13:06,477 | [160] | INFO  | ~316 | Cached 2 trusted devices.
02 Feb 2024 17:13:06,480 | [21] | INFO  | ~317 | Cached 2 trusted devices.
02 Feb 2024 17:13:06,835 | [165] | INFO  | ~318 | Cached 2 trusted devices.
02 Feb 2024 17:13:31,484 | [20] | INFO  | ~319 | Cached 2 trusted devices.
02 Feb 2024 17:13:31,575 | [80] | INFO  | ~320 | Cached 2 trusted devices.
02 Feb 2024 17:13:31,579 | [83] | INFO  | ~321 | Cached 2 trusted devices.
02 Feb 2024 17:13:31,584 | [20] | INFO  | ~322 | Cached 2 trusted devices.
02 Feb 2024 17:13:32,265 | [83] | INFO  | ~323 | Cached 2 trusted devices.
02 Feb 2024 17:13:32,297 | [167] | INFO  | ~324 | Cached 2 trusted devices.
02 Feb 2024 17:13:32,303 | [159] | INFO  | ~325 | Cached 2 trusted devices.
02 Feb 2024 17:14:02,892 | [24] | INFO  | ~326 | Cached 2 trusted devices.
02 Feb 2024 17:14:02,998 | [133] | INFO  | ~327 | Cached 2 trusted devices.
02 Feb 2024 17:14:03,005 | [167] | INFO  | ~328 | Cached 2 trusted devices.
02 Feb 2024 17:14:03,009 | [164] | INFO  | ~329 | Cached 2 trusted devices.
02 Feb 2024 17:14:03,487 | [83] | INFO  | ~330 | Cached 2 trusted devices.
02 Feb 2024 17:14:03,488 | [85] | INFO  | ~331 | Cached 2 trusted devices.
02 Feb 2024 17:14:03,543 | [20] | INFO  | ~332 | Cached 2 trusted devices.
 
